Waktu Order,Waktu Bayar,Produk,Jenis Order,Total Penjualan (Rp),Metode Pembayaran,Kasir
31-08-2025 18:47:57,31-08-2025 18:48:00,Air Mineral,Table,"Rp5.000,00",Cash,Mita
31-08-2025 18:51:13,31-08-2025 18:51:16,Air Mineral,Table,"Rp5.000,00",Cash,Mita
31-08-2025 19:12:19,31-08-2025 19:13:10,"BerryCha,Caramel,Kentang Goreng",Table,"Rp65.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 19:18:12,31-08-2025 19:19:24,"ButterScotch,Banana",Table,"Rp46.000,00",Cash,Mita
31-08-2025 19:19:53,31-08-2025 19:19:56,Risol,Table,"Rp10.000,00",Cash,Mita
31-08-2025 19:24:02,31-08-2025 19:24:31,BerryLush,Table,"Rp25.000,00",Cash,Mita
31-08-2025 19:25:18,31-08-2025 19:25:25,Air Mineral,Table,"Rp5.000,00",Cash,Mita
31-08-2025 19:30:16,31-08-2025 19:31:04,"Nasi Goreng,Mix Platter,Air Mineral",Table,"Rp45.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 19:33:42,31-08-2025 19:34:05,Florana,Table,"Rp69.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 19:35:40,31-08-2025 19:38:19,"Banana Chocolate,Matcha,Florana,Banana,Nasi Goreng,Mie Goreng,Ubi Goreng",Table,"Rp190.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 19:40:58,31-08-2025 19:41:02,Risol,Table,"Rp10.000,00",Cash,Mita
31-08-2025 19:48:57,31-08-2025 19:53:23,"White/Latte,ButterScotch,Pisang Goreng,Ubi Goreng",Table,"Rp99.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 19:54:51,31-08-2025 19:54:53,Chocolate,Table,"Rp25.000,00",Cash,Mita
31-08-2025 19:58:51,31-08-2025 20:00:24,"Mix Platter,Sup Ubi,Air Mineral,ChocoBerry",Table,"Rp72.000,00",Cash,Mita
31-08-2025 20:01:56,31-08-2025 20:02:11,"Americano Peach,Risol",Table,"Rp55.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:06:11,31-08-2025 20:07:12,"Sup Ubi,Air Mineral,Matcha",Lainnya,"Rp52.000,00",Cash,Mita
31-08-2025 20:10:12,31-08-2025 20:11:31,"Caramel,Air Mineral,Mix Platter,Pisang Goreng",Table,"Rp86.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:13:54,31-08-2025 20:14:26,"Caramel,Bakso Bakar",Table,"Rp35.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:16:42,31-08-2025 20:18:37,"Florana,Banana,Kentang Goreng,Pisang Goreng",Table,"Rp76.000,00",Cash,Mita
31-08-2025 20:19:59,31-08-2025 23:05:02,"BerryLush,BerryLush,Mie Goreng,Ayam Geprek,Banana,BerryLush",Table,"Rp160.000,00",Cash,Mita
31-08-2025 20:20:59,31-08-2025 20:21:38,"Air Mineral,Florana",Table,"Rp28.000,00",Cash,Mita
31-08-2025 20:22:56,31-08-2025 20:23:08,Red Velvet,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:24:23,31-08-2025 20:26:06,"Florana,BerryLush,Nasi Goreng,Kentang Goreng,Air Mineral",Table,"Rp88.000,00",Cash,Mita
31-08-2025 20:27:22,31-08-2025 20:29:16,"Lemon Tea,Nasi Goreng,Kentang Goreng,Hazelnut",Table,"Rp77.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:30:28,31-08-2025 20:30:39,Ayam Geprek,Table,"Rp17.000,00",Cash,Mita
31-08-2025 20:40:39,31-08-2025 20:41:30,Chocolate,Table,"Rp25.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:42:19,31-08-2025 20:42:27,Mix Platter,Table,"Rp20.000,00",Cash,Mita
31-08-2025 20:43:26,31-08-2025 20:44:25,"ChocoBerry,Matcha,Kentang Goreng,Donat",Table,"Rp79.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 20:49:43,31-08-2025 20:50:10,Vanilla,Table,"Rp23.000,00",Cash,Mita
31-08-2025 20:53:29,31-08-2025 20:53:57,"Banana Chocolate,Florana",Table,"Rp45.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 21:00:03,31-08-2025 21:00:39,"ButterScotch,Red Velvet",Table,"Rp46.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 21:02:56,31-08-2025 21:03:10,Americano ,Table,"Rp15.000,00",Cash,Mita
31-08-2025 21:14:43,31-08-2025 21:15:08,Chocolate,Table,"Rp25.000,00",Cash,Mita
31-08-2025 21:33:34,31-08-2025 21:34:24,"Classic,Matcha,BerryLush",Table,"Rp69.000,00",Cash,Mita
31-08-2025 21:35:53,31-08-2025 21:36:48,"Matcha,ButterScotch",Table,"Rp50.000,00",Cash,Mita
31-08-2025 21:38:01,31-08-2025 21:38:22,Florana,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 21:41:53,31-08-2025 21:42:51,"ChocoBerry,BerryCha",Table,"Rp54.000,00",Cash,Mita
31-08-2025 21:50:38,31-08-2025 21:52:11,"Vanilla,BerryCano,Chocolate,Florana",Table,"Rp96.000,00",Cash,Mita
31-08-2025 21:54:13,31-08-2025 21:57:20,"Banana Chocolate,White/Latte,Ubi Goreng",Table,"Rp105.000,00",Cash,Mita
31-08-2025 21:58:59,31-08-2025 21:59:44,Florana,Table,"Rp46.000,00",Cash,Mita
31-08-2025 22:02:12,31-08-2025 22:02:38,Nasi Goreng,Table,"Rp20.000,00",Cash,Mita
31-08-2025 22:11:10,31-08-2025 22:11:27,"White/Latte,Matcha",Table,"Rp73.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 22:16:41,31-08-2025 22:17:28,"Banana Chocolate,Red Velvet",Table,"Rp45.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 22:24:14,31-08-2025 22:25:16,"Lemon Tea,Nasi Goreng,BerryLush",Table,"Rp64.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 22:26:42,31-08-2025 22:29:06,"Chocolate,Mie Goreng,Ayam Geprek",Table,"Rp62.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 22:29:41,31-08-2025 22:30:23,"ChocoBerry,Air Mineral",Table,"Rp32.000,00","Bank Transfer, SCAN QR",Mita
31-08-2025 22:51:06,31-08-2025 22:51:59,"Matcha,Air Mineral,Kentang Goreng",Table,"Rp47.000,00",Cash,Mita
31-08-2025 22:53:09,31-08-2025 22:53:22,BerryLush,Table,"Rp25.000,00",Cash,Mita
31-08-2025 22:55:53,31-08-2025 22:56:36,Banana Chocolate,Table,"Rp22.000,00",Cash,Mita
01-09-2025 11:08:22,01-09-2025 11:09:33,Vanilla,Table,"Rp23.000,00",Cash,Muhammad Aditya
01-09-2025 11:09:48,01-09-2025 11:10:25,BerryLush,Table,"Rp25.000,00",Cash,Muhammad Aditya
01-09-2025 12:22:10,01-09-2025 14:04:55,"BerryLush,Florana",Table,"Rp48.000,00","Bank Transfer, SCAN QR",Muhammad Aditya
01-09-2025 13:06:36,01-09-2025 13:07:00,Kentang Goreng,Table,"Rp15.000,00",Cash,Muhammad Aditya
01-09-2025 13:27:07,01-09-2025 13:27:17,Vanilla,Table,"Rp23.000,00",Cash,Muhammad Aditya
01-09-2025 15:59:35,01-09-2025 16:00:22,Florana,Table,"Rp46.000,00",Cash,Muhammad Aditya
01-09-2025 16:01:28,01-09-2025 16:01:56,"Nasi Goreng,Air Mineral",Table,"Rp50.000,00",Cash,Muhammad Aditya
01-09-2025 16:16:12,01-09-2025 16:16:19,Florana,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 16:17:27,01-09-2025 16:29:38,"BerryLush,Risol",Table,"Rp45.000,00",Cash,Zahra
01-09-2025 17:22:08,01-09-2025 17:23:23,"Matcha,Caramel,Risol,Kukis ",Table,"Rp94.000,00",Cash,Zahra
01-09-2025 17:25:43,01-09-2025 17:26:13,"ButterScotch,Ubi Goreng",Table,"Rp38.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:26:38,01-09-2025 17:27:03,Air Mineral,Table,"Rp5.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:28:54,01-09-2025 17:29:05,"Mix Platter,Air Mineral",Table,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:31:24,01-09-2025 17:32:07,"Florana,Mix Platter",Table,"Rp43.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:34:09,01-09-2025 17:35:18,"ButterScotch,Nasi Goreng,Vanilla,Mie Goreng,Air Mineral",Table,"Rp91.000,00",Cash,Zahra
01-09-2025 17:38:54,01-09-2025 17:40:02,"Caramel,Coconut,Matcha,Vanilla",Table,"Rp96.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:41:17,01-09-2025 17:42:48,"Banana Chocolate,Kentang Goreng",Table,"Rp37.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 17:47:10,01-09-2025 17:47:57,"Mix Platter,Matcha",Table,"Rp94.000,00",Cash,Zahra
01-09-2025 18:03:10,01-09-2025 18:03:42,"Nasi Goreng,Air Mineral",Table,"Rp25.000,00",Cash,Zahra
01-09-2025 18:08:52,01-09-2025 18:10:58,"Classic,Kentang Goreng,BerryLush",Table,"Rp57.000,00",Cash,Zahra
01-09-2025 18:13:19,01-09-2025 18:13:28,Nasi Goreng,Table,"Rp20.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 18:16:43,01-09-2025 18:16:53,Nasi Goreng,Table,"Rp20.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 18:32:38,01-09-2025 18:32:42,Ayam Geprek,Table,"Rp17.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 18:49:42,01-09-2025 18:53:37,"Matcha,Sweet Cloud,Banana Chocolate,Kentang Goreng,Pisang Goreng,Risol",Table,"Rp114.000,00",Cash,Zahra
01-09-2025 18:56:17,01-09-2025 18:57:05,"Matcha,White/Latte",Table,"Rp50.000,00",Cash,Zahra
01-09-2025 19:03:02,01-09-2025 19:03:36,White/Latte,Table,"Rp23.000,00",Cash,Zahra
01-09-2025 19:08:34,01-09-2025 19:09:59,"Nasi Goreng,Sup Ubi,LoveBerry,Air Mineral",Table,"Rp70.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 19:20:12,01-09-2025 19:21:38,"BerryLush,Nasi Goreng,Air Mineral",Table,"Rp50.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 19:24:36,01-09-2025 19:25:45,"Red Velvet,Matcha,ButterScotch,Kentang Goreng",Table,"Rp88.000,00",Cash,Zahra
01-09-2025 19:28:36,01-09-2025 19:29:47,"Sup Ubi,Air Mineral",Table,"Rp50.000,00",Cash,Zahra
01-09-2025 19:34:43,01-09-2025 19:36:35,"Ayam Geprek,Nasi Goreng,Air Mineral",Table,"Rp69.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 19:44:53,01-09-2025 19:45:28,Red Velvet,Table,"Rp23.000,00",Cash,Zahra
01-09-2025 19:52:13,01-09-2025 19:52:30,Chocolate,Table,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 19:55:13,01-09-2025 19:56:34,"Mix Platter,Chocolate,Mie Goreng,ButterScotch",Table,"Rp88.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 19:58:23,01-09-2025 19:59:33,"Chocolate,Banana Chocolate",Table,"Rp47.000,00",Cash,Zahra
01-09-2025 20:09:05,01-09-2025 20:10:24,Ayam Geprek,Table,"Rp17.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:15:40,01-09-2025 20:15:58,Chocolate,Table,"Rp25.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:17:44,01-09-2025 20:17:53,ButterScotch,Table,"Rp23.000,00",Cash,Zahra
01-09-2025 20:19:02,01-09-2025 20:19:37,"Nasi Goreng,Matcha,Air Mineral",Table,"Rp52.000,00",Cash,Zahra
01-09-2025 20:20:26,01-09-2025 20:21:17,"Nasi Goreng,Americano ,Matcha",Table,"Rp82.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:22:26,01-09-2025 20:23:02,"Nasi Goreng,Lemon Tea",Table,"Rp39.000,00",Cash,Zahra
01-09-2025 20:24:32,01-09-2025 20:25:41,"Caramel,Nasi Goreng,Kentang Goreng",Table,"Rp58.000,00",Cash,Zahra
01-09-2025 20:29:12,01-09-2025 20:30:56,"Banana Chocolate,Tropicalush,Pisang Goreng,Bakso Bakar",Table,"Rp74.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:31:43,01-09-2025 20:32:12,Matcha,Table,"Rp27.000,00",Cash,Zahra
01-09-2025 20:32:51,01-09-2025 20:33:23,"Florana,Caramel",Table,"Rp46.000,00",Cash,Zahra
01-09-2025 20:40:37,01-09-2025 20:41:15,Coconut,Table,"Rp23.000,00",Cash,Zahra
01-09-2025 20:52:38,01-09-2025 20:53:24,"Nasi Goreng,Mie Goreng,Air Mineral",Table,"Rp45.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:54:26,01-09-2025 20:55:25,"Matcha,Tropicalush",Table,"Rp52.000,00",Cash,Zahra
01-09-2025 20:56:15,01-09-2025 20:57:35,"Chocolate,Kentang Goreng,Bakso Bakar,Nasi Goreng",Table,"Rp72.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 20:58:47,01-09-2025 20:58:55,Hazelnut,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 21:03:03,01-09-2025 21:03:49,"Red Velvet,Sweet Cloud,Kentang Goreng",Table,"Rp63.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 21:05:59,01-09-2025 21:06:36,"Banana,Banana Chocolate,ButterScotch",Lainnya,"Rp90.000,00",Cash,Zahra
01-09-2025 21:07:58,01-09-2025 21:08:27,"Florana,BerryLush",Table,"Rp48.000,00",Cash,Zahra
01-09-2025 21:18:56,01-09-2025 21:19:03,Pisang Goreng,Table,"Rp15.000,00",Cash,Zahra
01-09-2025 21:30:58,01-09-2025 21:32:10,"Banana Chocolate,ButterScotch,Mix Platter,Risol",Table,"Rp75.000,00",Cash,Zahra
01-09-2025 21:36:04,01-09-2025 21:36:21,White/Latte,Table,"Rp46.000,00",Cash,Zahra
01-09-2025 21:41:17,01-09-2025 21:43:29,"Nasi Goreng,Air Mineral,Americano ,Mix Platter",Table,"Rp60.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 21:47:00,01-09-2025 21:47:46,"Sweet Cloud,Tropicalush",Table,"Rp50.000,00",Cash,Zahra
01-09-2025 21:53:53,01-09-2025 21:54:05,Classic,Table,"Rp17.000,00",Cash,Zahra
01-09-2025 21:55:22,01-09-2025 21:56:14,"Vanilla,Banana Chocolate,Pisang Goreng",Table,"Rp60.000,00",Cash,Zahra
01-09-2025 21:59:43,01-09-2025 22:00:56,"Chocolate,Air Mineral",Table,"Rp55.000,00",Cash,Zahra
01-09-2025 22:13:42,01-09-2025 22:13:50,Mix Platter,Table,"Rp20.000,00",Cash,Zahra
01-09-2025 22:20:00,01-09-2025 22:20:20,Chocolate,Table,"Rp25.000,00",Cash,Zahra
01-09-2025 22:22:35,01-09-2025 22:22:43,ChocoBerry,Table,"Rp27.000,00",Cash,Zahra
01-09-2025 22:24:54,01-09-2025 22:25:46,"Vanilla,Pisang Goreng",Table,"Rp38.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 22:37:28,01-09-2025 22:37:38,Air Mineral,Table,"Rp5.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 22:40:54,01-09-2025 22:41:15,Florana,Table,"Rp23.000,00",Cash,Zahra
01-09-2025 22:42:18,01-09-2025 22:42:28,Air Mineral,Table,"Rp10.000,00","Bank Transfer, SCAN QR",Zahra
01-09-2025 22:55:21,01-09-2025 22:57:58,"Hazelnut,Caramel,Chocolate,Banana Chocolate,Florana",Table,"Rp116.000,00",Cash,Zahra
02-09-2025 10:13:48,02-09-2025 11:56:52,"Air Mineral,White/Latte,Ayam Geprek,Nasi Goreng,Ubi Goreng,Sup Ubi",Table,"Rp170.000,00",Cash,Jian Andika
02-09-2025 10:33:28,02-09-2025 10:33:33,Donat,Table,"Rp10.000,00",Cash,Jian Andika
02-09-2025 10:37:59,02-09-2025 10:38:03,Donat,Table,"Rp10.000,00",Cash,Jian Andika
02-09-2025 11:07:30,02-09-2025 11:08:02,"Nasi Goreng,Florana",Table,"Rp43.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 11:26:26,02-09-2025 11:27:03,"Donat,Air Mineral",Table,"Rp15.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 12:31:24,02-09-2025 12:31:55,"BerryLush,BerryCha",Table,"Rp52.000,00",Cash,Jian Andika
02-09-2025 12:37:40,02-09-2025 12:39:12,"Mie Goreng,Bakso Bakar",Table,"Rp32.000,00",Cash,Jian Andika
02-09-2025 12:41:29,02-09-2025 12:42:10,"BerryCha,Bakso Bakar,Sup Ubi",Table,"Rp59.000,00",Cash,Jian Andika
02-09-2025 12:43:32,02-09-2025 12:43:52,"Sup Ubi,Air Mineral",Table,"Rp25.000,00",Cash,Jian Andika
02-09-2025 12:44:50,02-09-2025 12:45:57,"BerryCano,Donat",Table,"Rp35.000,00",Cash,Jian Andika
02-09-2025 13:00:39,02-09-2025 13:02:12,"Nasi Goreng,Mie Goreng,White/Latte,ButterScotch",Table,"Rp86.000,00",Cash,Jian Andika
02-09-2025 13:08:10,02-09-2025 13:08:18,Chocolate,Lainnya,"Rp25.000,00",Cash,Jian Andika
02-09-2025 13:09:25,02-09-2025 13:09:39,Chocolate,Table,"Rp25.000,00",Cash,Jian Andika
02-09-2025 13:11:04,02-09-2025 13:12:13,"Hazelnut,Bakso Bakar,Risol",Table,"Rp45.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 13:13:23,02-09-2025 13:14:05,Hazelnut,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 13:20:28,02-09-2025 13:20:43,BerryLush,Table,"Rp25.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 13:27:35,02-09-2025 13:28:07,"Red Velvet,Donat",Table,"Rp33.000,00",Cash,Jian Andika
02-09-2025 13:32:14,02-09-2025 13:32:28,Vanilla,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 13:35:06,02-09-2025 13:35:21,Florana,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 13:39:02,02-09-2025 13:39:15,Air Mineral,Table,"Rp10.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 13:40:32,02-09-2025 13:40:52,Lemon Tea,Table,"Rp19.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 14:02:57,02-09-2025 14:04:24,"Vanilla,Caramel,Kentang Goreng",Table,"Rp61.000,00",Cash,Jian Andika
02-09-2025 14:06:05,02-09-2025 14:06:23,"Hazelnut,Lemon Tea",Table,"Rp42.000,00",Cash,Jian Andika
02-09-2025 14:11:56,02-09-2025 14:12:16,White/Latte,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 14:16:00,02-09-2025 14:16:38,Florana,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 14:33:28,02-09-2025 14:33:32,Air Mineral,Table,"Rp5.000,00",Cash,Jian Andika
02-09-2025 14:51:10,02-09-2025 14:51:47,Red Velvet,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 15:00:50,02-09-2025 15:01:57,"Mix Platter,Risol",Table,"Rp40.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 15:05:03,02-09-2025 15:05:31,"ChocoBerry,Mix Platter",Table,"Rp47.000,00",Cash,Jian Andika
02-09-2025 15:07:37,02-09-2025 15:08:14,White/Latte,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 15:24:19,02-09-2025 15:24:44,"Risol,Nasi Goreng,Air Mineral",Table,"Rp35.000,00",Cash,Jian Andika
02-09-2025 15:29:01,02-09-2025 15:30:14,"Mie Goreng,Ubi Goreng,Ayam Geprek,Air Mineral",Table,"Rp79.000,00",Cash,Jian Andika
02-09-2025 15:30:59,02-09-2025 15:32:03,"Matcha,Chocolate,Air Mineral",Table,"Rp57.000,00",Cash,Jian Andika
02-09-2025 15:43:59,02-09-2025 15:45:10,"BerryLush,Banana,Ubi Goreng",Table,"Rp63.000,00","Bank Transfer, SCAN QR",Jian Andika
02-09-2025 15:46:32,02-09-2025 15:46:48,ButterScotch,Table,"Rp23.000,00",Cash,Jian Andika
02-09-2025 15:58:44,02-09-2025 16:00:06,"Banana Chocolate,ButterScotch",Table,"Rp45.000,00",Cash,Jian Andika
02-09-2025 16:02:47,02-09-2025 16:02:59,Banana,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 16:06:16,02-09-2025 16:06:18,Air Mineral,Table,"Rp5.000,00",Cash,Mita
02-09-2025 16:46:12,02-09-2025 16:47:43,"Sup Ubi,Bakso Bakar,Lemon Tea",Table,"Rp90.000,00",Cash,Mita
02-09-2025 17:08:24,02-09-2025 17:11:16,"Florana,Sup Ubi,BerryCha,Mie Goreng,Air Mineral",Table,"Rp186.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 17:22:18,02-09-2025 17:22:22,Donat,Table,"Rp20.000,00",Cash,Mita
02-09-2025 17:33:41,02-09-2025 17:34:43,Risol,Table,"Rp10.000,00",Cash,Mita
02-09-2025 17:45:41,02-09-2025 17:48:24,"White/Latte,Red Velvet,Donat",Table,"Rp99.000,00",Cash,Mita
02-09-2025 17:51:26,02-09-2025 17:52:19,"Ayam Geprek,Florana",Table,"Rp40.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 17:52:52,02-09-2025 17:53:33,"Florana,Air Mineral",Table,"Rp28.000,00",Cash,Mita
02-09-2025 18:02:24,02-09-2025 18:03:15,"BerryCha,Caramel,Pisang Goreng",Table,"Rp65.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 18:11:09,02-09-2025 18:12:56,"Florana,Caramel,Nasi Goreng,Air Mineral",Table,"Rp91.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 18:17:52,02-09-2025 18:17:55,Risol,Table,"Rp10.000,00",Cash,Mita
02-09-2025 18:19:17,02-09-2025 18:20:38,"Matcha,Mix Platter,Hazelnut,Ayam Geprek,Air Mineral",Table,"Rp92.000,00",Cash,Mita
02-09-2025 18:24:17,02-09-2025 18:25:00,"Florana,Vanilla",Table,"Rp46.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 18:27:26,02-09-2025 18:29:46,"Nasi Goreng,Bakso Bakar,Sup Ubi,Americano ,Chocolate",Table,"Rp92.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 18:31:30,02-09-2025 18:32:23,"Florana,Matcha",Table,"Rp50.000,00",Cash,Mita
02-09-2025 18:32:51,02-09-2025 18:33:15,"Florana,Kentang Goreng",Table,"Rp38.000,00",Cash,Mita
02-09-2025 18:34:58,02-09-2025 18:35:03,Florana,Table,"Rp23.000,00",Cash,Mita
02-09-2025 18:42:40,02-09-2025 18:43:57,"Matcha,Risol,Air Mineral",Table,"Rp42.000,00",Cash,Mita
02-09-2025 18:59:46,02-09-2025 18:59:59,"BerryCha,Nasi Goreng",Table,"Rp47.000,00",Cash,Mita
02-09-2025 19:22:42,02-09-2025 19:22:45,Air Mineral,Table,"Rp5.000,00",Cash,Mita
02-09-2025 19:30:26,02-09-2025 19:33:35,"Nasi Goreng,Mie Goreng,ChocoBerry,BerryCha,Matcha,Air Mineral",Table,"Rp193.000,00",Cash,Mita
02-09-2025 19:34:55,02-09-2025 19:35:01,LemonBerry,Table,"Rp25.000,00",Cash,Mita
02-09-2025 19:35:44,02-09-2025 19:36:44,"BerryLush,ButterScotch,Nasi Goreng,Mie Goreng",Table,"Rp88.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 19:38:00,02-09-2025 19:38:24,"Matcha,Lemon Tea",Table,"Rp46.000,00",Cash,Mita
02-09-2025 19:39:12,02-09-2025 19:39:30,Matcha,Table,"Rp27.000,00",Cash,Mita
02-09-2025 19:41:20,02-09-2025 19:43:27,"ButterScotch,Americano ,Coconut,Donat",Table,"Rp71.000,00",Cash,Mita
02-09-2025 19:48:36,02-09-2025 19:49:31,"Vanilla,ButterScotch,Air Mineral,Bakso Bakar",Table,"Rp63.000,00",Cash,Mita
02-09-2025 20:01:14,02-09-2025 20:02:02,"Florana,Chocolate",Table,"Rp48.000,00",Cash,Mita
02-09-2025 20:03:01,02-09-2025 20:03:22,"Vanilla,Matcha",Table,"Rp50.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 20:10:19,02-09-2025 20:10:43,"Vanilla,Matcha,Classic",Table,"Rp67.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 20:12:18,02-09-2025 20:12:42,"Pisang Goreng,Kentang Goreng",Table,"Rp30.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 20:15:56,02-09-2025 20:17:24,"ButterScotch,White/Latte",Table,"Rp46.000,00",Cash,Mita
02-09-2025 20:18:11,02-09-2025 20:18:34,"Sweet Cloud,Chocolate",Table,"Rp50.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 20:19:31,02-09-2025 20:20:00,Banana Chocolate,Table,"Rp22.000,00",Cash,Mita
02-09-2025 20:22:14,02-09-2025 20:22:35,"Matcha,Florana",Table,"Rp50.000,00",Cash,Mita
02-09-2025 20:23:22,02-09-2025 20:24:04,"White/Latte,Americano ",Table,"Rp38.000,00",Cash,Mita
02-09-2025 20:24:54,02-09-2025 20:25:08,ButterScotch,Table,"Rp23.000,00",Cash,Mita
02-09-2025 20:29:40,02-09-2025 20:31:31,"Donat,Chocolate,Tropicalush",Table,"Rp60.000,00",Cash,Mita
02-09-2025 20:32:15,02-09-2025 20:33:13,"Nasi Goreng,Ayam Geprek,Lemon Tea,Air Mineral",Table,"Rp61.000,00",Cash,Mita
02-09-2025 20:34:38,02-09-2025 20:34:55,Florana,Table,"Rp23.000,00",Cash,Mita
02-09-2025 20:37:03,02-09-2025 20:37:24,Florana,Table,"Rp23.000,00",Cash,Mita
02-09-2025 20:39:54,02-09-2025 20:42:59,"Red Velvet,White/Latte,Pisang Goreng",Table,"Rp130.000,00",Cash,Mita
02-09-2025 20:43:56,02-09-2025 20:44:15,Banana Chocolate,Table,"Rp22.000,00",Cash,Mita
02-09-2025 20:45:16,02-09-2025 20:45:34,Classic,Lainnya,"Rp17.000,00",Cash,Mita
02-09-2025 20:47:46,02-09-2025 20:48:28,White/Latte,Table,"Rp23.000,00",Cash,Mita
02-09-2025 20:49:46,02-09-2025 20:50:54,"ButterScotch,Chocolate,Air Mineral,Mix Platter",Table,"Rp73.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 20:51:54,02-09-2025 20:52:13,Florana,Table,"Rp23.000,00",Cash,Mita
02-09-2025 20:54:13,02-09-2025 20:57:27,"White/Latte,Banana Chocolate,Red Velvet,Pisang Goreng,Mix Platter",Table,"Rp125.000,00","Bank Transfer, SCAN QR",Mita
02-09-2025 21:04:56,02-09-2025 21:05:28,"Caramel,Florana",Table,"Rp69.000,00",Cash,Mita
02-09-2025 21:17:57,02-09-2025 21:20:07,"Red Velvet,Matcha,Chocolate,Kentang Goreng,Pisang Goreng,Air Mineral",Table,"Rp125.000,00",Cash,Mita
02-09-2025 21:23:22,02-09-2025 21:24:47,Florana,Table,"Rp23.000,00","Bank Transfer, SCAN QR",Mita
